Area Code (M49),Element Code,Item Code (CPC),Year Code,Year,Value
4,5412,113,2020,2020,4441.7
4,5412,113,2021,2021,4406.5
4,5412,113,2022,2022,4625.0
4,5412,113,2023,2023,4627.9
4,5412,111,2020,2020,1943.4
4,5412,111,2021,2021,1963.1
4,5412,111,2022,2022,2045.3
4,5412,111,2023,2023,2146.7
8,5412,111,2020,2020,4327.1
8,5412,111,2021,2021,4130.5
8,5412,111,2022,2022,4296.3
8,5412,111,2023,2023,4053.9
12,5412,113,2020,2020,1791.0
12,5412,113,2021,2021,1790.0
12,5412,113,2022,2022,1789.9
12,5412,113,2023,2023,1790.3
12,5412,111,2020,2020,1681.1
12,5412,111,2021,2021,1584.3
12,5412,111,2022,2022,1666.7
12,5412,111,2023,2023,1388.9
24,5412,113,2020,2020,1237.5
24,5412,113,2021,2021,1226.6
24,5412,113,2022,2022,1232.3
24,5412,113,2023,2023,1172.1
24,5412,111,2020,2020,652.0
24,5412,111,2021,2021,931.0
24,5412,111,2022,2022,931.0
24,5412,111,2023,2023,931.0
32,5412,113,2020,2020,6599.6
32,5412,113,2021,2021,7266.2
32,5412,113,2022,2022,6569.7
32,5412,113,2023,2023,6723.7
32,5412,111,2020,2020,2938.7
32,5412,111,2021,2021,2759.5
32,5412,111,2022,2022,3382.5
32,5412,111,2023,2023,2287.6
51,5412,111,2020,2020,2252.8
51,5412,111,2021,2021,1676.6
51,5412,111,2022,2022,2450.9
51,5412,111,2023,2023,2526.5
36,5412,113,2020,2020,10030.8
36,5412,113,2021,2021,9382.0
36,5412,113,2022,2022,11054.5
36,5412,113,2023,2023,9516.2
36,5412,111,2020,2020,1468.1
36,5412,111,2021,2021,2524.9
36,5412,111,2022,2022,2847.0
36,5412,111,2023,2023,3187.5
40,5412,111,2020,2020,5923.4
40,5412,111,2021,2021,5529.9
40,5412,111,2022,2022,5795.2
40,5412,111,2023,2023,6187.7
31,5412,113,2020,2020,3131.4
31,5412,113,2021,2021,3296.0
31,5412,113,2022,2022,3424.2
31,5412,113,2023,2023,4651.5
31,5412,111,2020,2020,3090.8
31,5412,111,2021,2021,3210.1
31,5412,111,2022,2022,3111.3
31,5412,111,2023,2023,3302.0
50,5412,113,2020,2020,4808.8
50,5412,113,2021,2021,4818.7
50,5412,113,2022,2022,4891.2
50,5412,113,2023,2023,5034.8
50,5412,111,2020,2020,3097.0
50,5412,111,2021,2021,3299.6
50,5412,111,2022,2022,3450.0
50,5412,111,2023,2023,3494.6
356,5412,113,2020,2020,4075.7
356,5412,113,2021,2021,4196.2
356,5412,113,2022,2022,4257.1
356,5412,113,2023,2023,4322.3
356,5412,111,2020,2020,3439.8
356,5412,111,2021,2021,3520.8
356,5412,111,2022,2022,3537.3
356,5412,111,2023,2023,3520.7
